Source,CH1
Second,Volt
 0.00000045200,-0.80000,
 0.00000045300,-0.80000,
 0.00000045400,-0.80000,
 0.00000045500,-1.00000,
 0.00000045600,-0.80000,
 0.00000045700,-0.80000,
 0.00000045800,-0.80000,
 0.00000045900,-0.80000,
 0.00000046000,-0.80000,
 0.00000046100,-0.80000,
 0.00000046200,-0.80000,
 0.00000046300,-0.80000,
 0.00000046400,-0.80000,
 0.00000046500,-0.80000,
 0.00000046600,-0.80000,
 0.00000046700,-0.60000,
 0.00000046800,-0.60000,
 0.00000046900,-0.80000,
 0.00000047000,-0.60000,
 0.00000047100,-0.80000,
 0.00000047200,-0.60000,
 0.00000047300,-0.80000,
 0.00000047400,-0.80000,
 0.00000047500,-0.80000,
 0.00000047600,-0.80000,
 0.00000047700,-0.80000,
 0.00000047800,-0.60000,
 0.00000047900,-0.80000,
 0.00000048000,-0.80000,
 0.00000048100,-0.60000,
 0.00000048200,-0.80000,
 0.00000048300,-0.60000,
 0.00000048400,-0.80000,
 0.00000048500,-0.60000,
 0.00000048600,-0.80000,
 0.00000048700,-0.80000,
 0.00000048800,-0.60000,
 0.00000048900,-0.80000,
 0.00000049000,-0.60000,
 0.00000049100,-0.80000,
 0.00000049200,-0.60000,
 0.00000049300,-0.80000,
 0.00000049400,-0.60000,
 0.00000049500,-0.80000,
 0.00000049600,-0.60000,
 0.00000049700,-0.60000,
 0.00000049800,-0.80000,
 0.00000049900,-0.60000,
 0.00000050000,-0.60000,
 0.00000050100,-0.60000,
 0.00000050200,-0.80000,
 0.00000050300,-0.60000,
 0.00000050400,-0.60000,
 0.00000050500,-0.60000,
 0.00000050600,-0.80000,
 0.00000050700,-0.40000,
 0.00000050800,-0.80000,
 0.00000050900,-0.80000,
 0.00000051000,-0.40000,
 0.00000051100,-0.80000,
 0.00000051200,-0.60000,
 0.00000051300,-0.60000,
 0.00000051400,-0.60000,
 0.00000051500,-0.80000,
 0.00000051600,-0.60000,
 0.00000051700,-0.40000,
 0.00000051800,-0.40000,
 0.00000051900,-0.60000,
 0.00000052000,-0.20000,
 0.00000052100,-0.60000,
 0.00000052200,-0.60000,
 0.00000052300,-0.80000,
 0.00000052400,-0.40000,
 0.00000052500,-0.60000,
 0.00000052600,-0.60000,
 0.00000052700,-0.60000,
 0.00000052800,-0.40000,
 0.00000052900,-0.40000,
 0.00000053000,-0.60000,
 0.00000053100,-0.60000,
 0.00000053200,-0.60000,
 0.00000053300,-0.40000,
 0.00000053400,-0.40000,
 0.00000053500,-0.60000,
 0.00000053600,-0.60000,
 0.00000053700,-0.60000,
 0.00000053800,-0.40000,
 0.00000053900,-0.60000,
 0.00000054000,-0.40000,
 0.00000054100,-0.60000,
 0.00000054200,-0.40000,
 0.00000054300,-0.60000,
 0.00000054400,-0.40000,
 0.00000054500,-0.60000,
 0.00000054600,-0.40000,
 0.00000054700,-0.40000,
 0.00000054800,-0.40000,
 0.00000054900,-0.60000,
 0.00000055000,-0.40000,
 0.00000055100,-0.60000,
 0.00000055200,-0.40000,
 0.00000055300,-0.60000,
 0.00000055400,-0.40000,
 0.00000055500,-0.60000,
