x	CH1	Source	CH1_
4.00E-08	1.16	-3.50E-05	-0.02
4.20E-08	1.152	-3.50E-05	0
4.40E-08	1.112	-3.50E-05	-0.02
4.60E-08	1.064	-3.50E-05	0
4.80E-08	1.016	-3.50E-05	0
5.00E-08	0.96	-3.49E-05	0
5.20E-08	0.896	-3.49E-05	-0.02
5.40E-08	0.824	-3.49E-05	0
5.60E-08	0.76	-3.49E-05	-0.02
5.80E-08	0.712	-3.49E-05	-0.02
6.00E-08	0.672	-3.49E-05	-0.02
6.20E-08	0.64	-3.49E-05	0
6.40E-08	0.608	-3.49E-05	-0.02
6.60E-08	0.608	-3.49E-05	-0.02
6.80E-08	0.616	-3.49E-05	-0.02
7.00E-08	0.616	-3.48E-05	0
7.20E-08	0.632	-3.48E-05	-0.02
7.40E-08	0.656	-3.48E-05	-0.02
7.60E-08	0.68	-3.48E-05	-0.02
7.80E-08	0.704	-3.48E-05	-0.02
8.00E-08	0.72	-3.48E-05	0
8.20E-08	0.744	-3.48E-05	-0.02
8.40E-08	0.736	-3.48E-05	-0.02
8.60E-08	0.728	-3.48E-05	-0.02
8.80E-08	0.736	-3.48E-05	-0.02
9.00E-08	0.72	-3.47E-05	0
9.20E-08	0.696	-3.47E-05	-0.02
9.40E-08	0.68	-3.47E-05	0
9.60E-08	0.664	-3.47E-05	-0.02
9.80E-08	0.64	-3.47E-05	0
1.00E-07	0.616	-3.47E-05	0
1.02E-07	0.6	-3.47E-05	0
1.04E-07	0.592	-3.47E-05	-0.02
1.06E-07	0.584	-3.47E-05	-0.02
1.08E-07	0.584	-3.47E-05	-0.02
1.10E-07	0.584	-3.46E-05	-0.02
1.12E-07	0.576	-3.46E-05	-0.02
1.14E-07	0.592	-3.46E-05	-0.02
1.16E-07	0.6	-3.46E-05	-0.02
1.18E-07	0.608	-3.46E-05	-0.02
1.20E-07	0.616	-3.46E-05	-0.02
1.22E-07	0.624	-3.46E-05	-0.02
1.24E-07	0.624	-3.46E-05	-0.02
1.26E-07	0.632	-3.46E-05	-0.02
1.28E-07	0.632	-3.46E-05	-0.02
1.30E-07	0.624	-3.45E-05	-0.02
1.32E-07	0.624	-3.45E-05	0
1.34E-07	0.616	-3.45E-05	-0.02
1.36E-07	0.608	-3.45E-05	-0.02
1.38E-07	0.6	-3.45E-05	-0.02
1.40E-07	0.576	-3.45E-05	-0.02
1.42E-07	0.568	-3.45E-05	-0.02
1.44E-07	0.568	-3.45E-05	-0.02
1.46E-07	0.568	-3.45E-05	-0.02
1.48E-07	0.568	-3.45E-05	-0.02
1.50E-07	0.552	-3.44E-05	-0.02
1.52E-07	0.536	-3.44E-05	-0.02
1.54E-07	0.552	-3.44E-05	-0.02
1.56E-07	0.568	-3.44E-05	-0.02
1.58E-07	0.568	-3.44E-05	-0.02
1.60E-07	0.568	-3.44E-05	-0.02
1.62E-07	0.568	-3.44E-05	-0.02
