x	Usd=5 V	Usd=4.12 V	Usd=3.25 V	Usd=2.37 V	Usd=1.5 V
3.94	4.64e-05	4.81e-05	4.95e-05	5.06e-05	5.14e-05
3.95	4.83e-05	5.01e-05	5.15e-05	5.28e-05	5.36e-05
3.95	5.03e-05	5.23e-05	5.37e-05	5.5e-05	5.59e-05
3.96	5.24e-05	5.45e-05	5.6e-05	5.73e-05	5.82e-05
3.96	5.45e-05	5.66e-05	5.82e-05	5.96e-05	6.05e-05
3.97	5.68e-05	5.9e-05	6.06e-05	6.21e-05	6.31e-05
3.97	5.91e-05	6.15e-05	6.32e-05	6.47e-05	6.58e-05
3.98	6.16e-05	6.4e-05	6.58e-05	6.75e-05	6.85e-05
3.98	6.4e-05	6.66e-05	6.84e-05	7.01e-05	7.13e-05
3.99	6.67e-05	6.94e-05	7.13e-05	7.31e-05	7.43e-05
3.99	6.95e-05	7.23e-05	7.43e-05	7.62e-05	7.74e-05
4	7.24e-05	7.53e-05	7.75e-05	7.94e-05	8.07e-05
