x	I_SD	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0.462	3.31e-08	6.72e-08	1.39e-07	2.9e-07	6.15e-07	1.31e-06
0.466	3.3e-08	6.72e-08	1.39e-07	2.9e-07	6.15e-07	1.31e-06
0.47	3.3e-08	6.73e-08	1.39e-07	2.9e-07	6.15e-07	1.32e-06
0.474	3.3e-08	6.73e-08	1.39e-07	2.9e-07	6.15e-07	1.32e-06
0.478	3.31e-08	6.73e-08	1.39e-07	2.9e-07	6.15e-07	1.32e-06
0.482	3.31e-08	6.73e-08	1.39e-07	2.9e-07	6.16e-07	1.32e-06
0.486	3.31e-08	6.73e-08	1.39e-07	2.9e-07	6.16e-07	1.32e-06
0.49	3.31e-08	6.73e-08	1.39e-07	2.9e-07	6.16e-07	1.32e-06
0.494	3.31e-08	6.73e-08	1.39e-07	2.9e-07	6.16e-07	1.32e-06
0.498	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.16e-07	1.32e-06
0.503	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.16e-07	1.32e-06
0.507	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.511	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.515	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.519	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.523	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.527	3.31e-08	6.74e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.531	3.31e-08	6.75e-08	1.39e-07	2.91e-07	6.17e-07	1.32e-06
0.535	3.31e-08	6.75e-08	1.39e-07	2.91e-07	6.18e-07	1.32e-06
0.539	3.31e-08	6.75e-08	1.39e-07	2.91e-07	6.18e-07	1.32e-06
0.543	3.31e-08	6.75e-08	1.39e-07	2.91e-07	6.18e-07	1.32e-06
0.547	3.31e-08	6.75e-08	1.39e-07	2.91e-07	6.18e-07	1.32e-06
0.551	3.31e-08	6.75e-08	1.39e-07	2.92e-07	6.18e-07	1.32e-06
0.555	3.32e-08	6.75e-08	1.39e-07	2.92e-07	6.19e-07	1.32e-06
0.559	3.32e-08	6.75e-08	1.39e-07	2.92e-07	6.19e-07	1.32e-06
0.563	3.32e-08	6.76e-08	1.39e-07	2.92e-07	6.19e-07	1.32e-06
0.567	3.32e-08	6.76e-08	1.39e-07	2.92e-07	6.19e-07	1.32e-06
0.571	3.32e-08	6.76e-08	1.39e-07	2.92e-07	6.19e-07	1.33e-06
0.575	3.32e-08	6.76e-08	1.39e-07	2.92e-07	6.19e-07	1.33e-06
0.579	3.32e-08	6.76e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.583	3.32e-08	6.76e-08	1.39e-07	2.92e-07	6.2e-07	1.33e-06
0.587	3.32e-08	6.76e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.591	3.32e-08	6.76e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.595	3.32e-08	6.77e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.599	3.32e-08	6.77e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.603	3.32e-08	6.77e-08	1.4e-07	2.92e-07	6.2e-07	1.33e-06
0.607	3.32e-08	6.77e-08	1.4e-07	2.92e-07	6.21e-07	1.33e-06
0.611	3.32e-08	6.77e-08	1.4e-07	2.92e-07	6.21e-07	1.33e-06
0.615	3.32e-08	6.77e-08	1.4e-07	2.93e-07	6.21e-07	1.33e-06
0.619	3.32e-08	6.77e-08	1.4e-07	2.93e-07	6.21e-07	1.33e-06
0.623	3.32e-08	6.77e-08	1.4e-07	2.93e-07	6.21e-07	1.33e-06
0.627	3.32e-08	6.77e-08	1.4e-07	2.93e-07	6.21e-07	1.33e-06
0.631	3.32e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.635	3.32e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.639	3.32e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.643	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.647	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.651	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.655	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.659	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.22e-07	1.33e-06
0.663	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.23e-07	1.33e-06
0.667	3.33e-08	6.78e-08	1.4e-07	2.93e-07	6.23e-07	1.33e-06
0.671	3.33e-08	6.79e-08	1.4e-07	2.93e-07	6.23e-07	1.33e-06
0.675	3.33e-08	6.79e-08	1.4e-07	2.93e-07	6.23e-07	1.33e-06
0.679	3.33e-08	6.79e-08	1.4e-07	2.93e-07	6.23e-07	1.33e-06
0.683	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.23e-07	1.33e-06
0.687	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.23e-07	1.34e-06
0.691	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.695	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.699	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.704	3.33e-08	6.79e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.708	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.712	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.716	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.72	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.24e-07	1.34e-06
0.724	3.34e-08	6.8e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.728	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.732	3.33e-08	6.8e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.736	3.34e-08	6.8e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.74	3.34e-08	6.8e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.744	3.34e-08	6.81e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
